-36.40429480440235,
-30.420705009168667,
-30.572119676372406,
-30.626911111339638,
-30.639589112516447,
-30.638282544778157,
-30.633288663513223,
-30.62786763218034,
-30.622907799985207,
-30.618576516985264,
-30.61484623306708,
-30.611647759441027,
-30.60891034658684,
-30.606570354748985,
-30.60457214987366,
-30.60286741317716,
-30.601414277194575,
-30.600176537849933,
-30.599122957182935,
-30.59822664200336,
-30.597464487919087,
-30.596816682807095,
-30.596266265631133,
-30.595798736804063,
-30.59540171609259,
-30.595064643846744,
-30.594778521259123,
-30.59453568543424,
-30.594329615244003,
-30.594154764220242,
-30.594006417054963,
-30.593880566615177,
-30.593773808713884,
-30.593683252199135,
